Name,Lecture,Comment,Time,Likes,Reply Count,Sentiments
@jaisurya5674,1,Option D is the correct answer That is ai that develops emotions over time,2021-12- 19T 21: 00: 00Z,2,2,Positive 
@shrutikadu6853,1,My answer for the quiz will be D .. And thanks for such a great and informative video,2021-11-8T 23: 00: 00Z ,1,1,Positive 
@ghaliamohamed8249,1,"I’m so confused, which major shall I choose IT infrastructure major or Ai artificial intelligence major , I want a major that will make me benefit from it a lot.. for example a good salary etc..
",2021-09-14T 25: 00: 00Z ,6,2,Positive 
@gamebred5725,1,Option(D):AI that develops emotions over time,2022-06-12T 18: 00: 00Z ,3,1,Positive 
@jagadeeshkumarposimsetti1783,1,Option D. AI that develops emotions overtime,2022-05-10T 12: 00: 00Z ,1,1,Positive 
@kangkanray1975,1,. AI that develops emotions over time.,2022-07-15T 16: 00: 00Z ,8,1,Positive 
@atulyachauhan9024,1,D - AI that develops Emotions over time,2021-09-12T 19: 00: 00Z ,2,1,Positive 
@wahyuanaandikarini9184,1,nice and must try,2023-12-15T 12:00:00Z,3,1,Positive 
@life__pro,1,Great video! I really enjoyed your concise and informative overview of artificial intelligence.,2023-11-13T 15:00: 00Z ,4,1,Positive 
@NonnyJ,1,"Well, I stand strongly with D although they pretend to have feelings but haven’t seen any AI that develops emotions over time",2023-10:-15T 14: 00: 00Z ,1,1,Positive 
@eugeneman1811,1,AI that can reads it's owners emotions.,2021-08-16T 17: 00: 00Z ,1,1,Positive 
@bikramjitm,1,No such AI has been made that develops emotion over time.,2020: 09: 8T 12: 00: 00Z ,4,1,Negative 
@gaadhasuraj9924,1,I'm soo confused! I think its C but in the same time I think its D!!!,2021: 08: 6T 11: 00: 00Z ,3,1,Negative 
@grateful9672,1,"Of course it's D, I'm a few years late and this is my final answer. I enjoyed this video",2023: 07: 4T 7: 00: 00Z ,1,1,Positive 
@OriginalBishal,1,B. Because making a skeletal system artificially is yet be achieved.,2023: 10: 12T 11: 00: 00Z ,1,1,Negative 
@anitharamesh1951,1,"The answer is ""D""",2022: 08: 23T 01: 00: 00Z ,2,4,Neutral 
@singhrishabh2715,1,hx your AI video,2021: 06: 7T 17: 00: 00Z ,4,1,Neutral 
@rickroberts702,1,"AI that develops emotion over time is the answer to the quiz question. AI will, however, develop this ability.",2022: 09; 20T 16: 00: 00Z ,1,1,Positive 
@startrainer1051,1,Very good explanation. ,2021: 10: 21T 16: 00: 00Z ,0,1,Positive 
@nzmuses4383,1,I think a big difference will constantly happen between HUMAN and AI.,2021: 03: 31T 12: 00: 00Z ,7,1,Positive 
@drannoc100,1,"I don’t know any AI can read owners’ emotion yet. So, c and d. But do we really have AI with citizenship? Probably not, either. So then it’s A, Cand D.",2021: 06: 21T 14: 00: 00Z ,3,2,Negative 
@Masharikiboy-3000,1,Know I'm understanding what AI is thanks,2024: 06: 15T 12: 00: 00Z ,0,1,Positive 
@soumenmondalsm7454,1,Option D. AI that develops emotion over time.,2023: 7: 12T 11: 00: 00Z ,0,0,Positive 
@crazythoughtsfrommgm.3034,1,"Sir, it's option A. Thank you for giving more information about AI.",2021: 8: 12T 17: 00: 00Z ,5,4,Positive 
@prakhar16,1,The answer is 'D' AI that develops emotions over time are still not developed,2019: 5: 9T 12: 00: 00Z ,4,2,Positive 
@srijitachaulia7607,1,The answer is D. Al that develops emotions over time,2020: 8: 3T 11: 00: 00Z ,5,1,Positive 
@irizprolearningsolutions5320,1,That's a great way of explaining a complicated term!,2021: 9: 6T 12: 00: 00Z ,7,1,Positive 
@bolajimohammed,1,I choose option D. AI that develops emotion over time,2024: 07: 10T 19: 00: 00Z ,0,0,Neutral 
@laughandlearn9,1,the answer to the question at 04:10 is D,2019: 11: 18T 12: 00: 00Z ,4,2,Positive 
@ajithkrrish3534,1,"Thanks for your video, because I am concerned about this AI,as I am completely belongs to different stream though I don't know much more about it.",2021-9-11T 11: 00: 00Z ,3,2,Positive 
@divyamattey9419,1,Option D: AI that develops emotions over time.,2019-8-13T 10: 00: 00Z ,9,1,Positive 
@viragikagunaratna3198,1,"D, AI that develops emotions over the time.",2024-2: 21T 25:00: 00Z ,1,1,Positive 
@loooop6447,1,Please tell that which application you use to explain?? Anyway great video ,2021-8-27T 12: 00: 00Z ,3,1,Positive 
@virals4828,1,"A"" is the right option ...",2022-9-26T 11: 00: 00Z ,4,1,Positive 
@b.m.s.a9572,1,D answer because Generalized Learning is a difficult task.,2022-05-12T 6: 00: 00Z ,1,1,Positive 
@whitelineline8095,1,i that develops emotions overtime,2023- 08- 20T 13: 00: 00Z ,0,0,Positive 
@shauryatomar4493,1,Obviously d ai that can develop emotions over time. Ai can not have emotions yet,2021-06-11T 14: 00: 00Z ,4,1,Positive 
@Serkasm,1,My theory for AI is that it is limited by the same things as we are. We won't have robots overtaking us as we would have evolved more by then. ,2023- 03-26T 13: 00: 00Z,0,0,Positive 
@nurmaslichah4466,1,"Inspirational video, great.",2023-06-12T 17: 00: 00Z ,1,1,Positive 
@marizarasasarimurni4634,1,AI that develops emotions overtime.,2023-10-15T 12: 00: 00Z ,1,1,Positive 
@sabinepaul2876,1,"Hey, can I use this video officially in my class room to introduce my A-level students to AI? I am a teacher at a vocational college in Germany.",2021-10-11T 13: 00: 00Z ,8,2,Positive 
@bennyscarcelli,1,"This capability will likely eventuate when strong AI systems will be developed, rather than the task oriented weak AI we currently have",2022-10-13T 17: 00: 00Z ,5,1,Positive 
@ikpachristiana1950,1,awesome video ,2023-11: 10T 20: 00: 00Z ,1,1,Positive 
@GlitchedMew,1,It's always better to know.,2022-9-11T 14: 00: 00Z ,1,1,Positive 
@tholetidurgeswararao1598,1,A. An AI robot with citizenship D. Al that develops emotions over time,2024-06-10T 18: 00: 00Z ,1,1,Positive 
@aaradhyashrivastav6989,1,absultely amazing vid,2022-05-11T 19: 00: 00Z ,1,1,Positive 
@NeoExplore,1,Thankyou so much well explained!!,2021: 12-18T 22: 00: 00Z ,1,1,Positive 
@Clothing1_,1,Answer is C. AI that can read it's owner's emotion,2022: 5: 22T 24: 00: 00Z,1,1,Positive 
@asrinidhi299,1,Definitely option D. As AI can't develop emotions over time...,2022: 6: 11T 16: 00: 00Z ,1,3,Positive 
@k7laks,1,"The answer for the question is D, as we have not yet come to the stage of making AI that can develop emotions.",2022: 9: 19T 19: 00: 00Z ,1,1,Positive 
@likesub13,1,Your video explain my doubt sir,2023-10-12T 14: 00: 00Z ,1,0,Positive 
@BagwellVids,1,The correct answer is variable upon when you view this..?,2021-9-11T 11: 00: 00Z ,1,1,Positive 
@seanheartgarcines1176,1,"I just found this video and i got it right, answer is D.",2023-7-14T 16: 00: 00Z ,1,0,Positive 
@ziamiahakil5005,1,Just read that Sophia is an AI Robot who has been granted Citizenship in Saudi Arabia,2023-8-13T 18: 00: 00Z ,1,0,Positive 
@prathimagorusu6443,1,D : AI THAT DEVELOPS EMOTIONS OVER TIME doesn't exist yet as of now,2024-05-8T 15: 00: 00Z ,1,1,Positive 
@madan_1809,1,Option D is correct Thanks for the video,2021-04-9T 19: 00: 00Z ,0,1,Neutral 
@JerryDavis-r5i,1,Great Video. Very simple but informative. Thank you! Answer: D. AI developing emotions seems pretty far out. But with a little bit of life experience- who knows?,2024-08-19T 18: 00: 00Z ,0,1,Positive 
@techdatamexico4530,1,"The answer is only option ""A"". No robot have (yet) citizenship.",2023-09-22T 17: 00: 00Z ,1,0,Positive 
@jugalpatel4298,1,AI that develops emotions over time,2023-09-3T 17: 00: 00Z ,1,1,Positive 
@marketmovers2,1,Awesome video but my answer is D: AI that develops emotions over time.,2023-08-10T 29: 00: 00Z ,0,0,Positive 
@ashutoshsingh9232,1,The answer to quiz is D . AI are unavailable to develop emotions..... yet ..,2021-09-17T 17: 00: 00Z ,1,1,Positive 
@edit.fortune,1,Option D. AI that develops emotions over time,2021-04-7T 19: 00: 00Z ,1,1,Positive 
@VenkatasaiKoneti,1,Brilliant AI guidelines,2023-07-16T 21: 00: 00Z ,0,0,Neutral 
@sreenathmk1386,1,"Hi , I am from kerala I think the right answer is option D",2023-02-18T 16: 00: 00Z ,1,1,Positive 
@AkaneAquaAiRuby,1,"Wow, that's so interesting",2023-09-28T 19: 00: 00Z ,2,1,Positive 
@murtalaahmadmoray6726,1,C-Because there is no AI robot machine that can read & figure out your self emotions.Neither humans nor robots that yet exist to predict your inside.,2022-10-26T 17: 00: 00Z ,1,1,Positive 
@sainihasini3276,1,Good explanation and prounce is good,2022-11-27T 22: 00: 00Z ,2,2,Positive 
@RBASB10,1,"Wow, I can’t believe I’m actually 3 years late. Extremely informative video indeed.",2023-01-8T 18: 00: 00Z ,0,1,Positive 
@b0dyfitz0ne,1,"Hi, D is the right answer!",2024-06-10T 12: 00: 00Z ,0,0,Positive 
@akromnasirov5158,1,Answer D- Artificial Intelligence that develops emotions overtime.,2021-04-17T 19: 00: 00Z ,0,1,Positive 
@someshpatel9454,1,option D. Good explanation of the AI.,2023-08-19T 16: 00: 00Z ,0,1,Positive 
@luciferviraj1041,1,Very nice explanation,2021-05-20T 14: 00: 00Z ,1,1,Positive 
@mrbogoje1240,1,We demand answers to the quiz!,2022-04-13T 17: 00: 00Z ,1,1,Positive 
@SriSaiNanajiChowdary,1,Answer:D Ai that develops emotions over time,2024-06-16T 18: 00: 00Z ,0,1,Positive 
@ranapratapsinghpravinpatil7019,1,Option D AI that develops emotions over time,2021-07-12T 14: 00: 00Z ,1,1,Positive 
@sharondianaamorlorono1772,1,Option D: AI that develops emotions over time,2024-07-9T 15: 00: 00Z ,0,0,Neutral 
@garygerard4290,1,I watched about half and have no idea what ai is. thanks for trying.,2023-05-10T 19: 00: 00Z ,1,1,Positive 
@astoria7875,1,Your video was helpful,2022-08-18T 17: 00: 00Z ,1,1,Positive 
@shreyanthelegend9358,1,A - Sophia is the first robot to ever be given a citizenship. B- Kojiro the AI Robot has a skeletal and muscular system. C - Robots can sometimes read how the person is feeling by understanding his ,2022-01-11T 14: 00: 00Z ,1,1,Positive 
@sivadeepu7722,1,"The answer is option ""D""",2023-05-18T 19: 00: 00Z ,0,0,Positive 
@haleemasadia4357,1,"An AI robot with citizenship exists. As An AI robot ""sophia"" has a citizenship of Saudia Arabia. A robot with muscular skeletal system also exits. Many humanoid robots have a muscular skeletal system like ""AMECA"".",2022-03-14T 14: 00: 00Z ,1,1,Positive 
@naikdikshu99,1,Ans is D,2023-01-19T 17: 00: 00Z ,2,1,Positive 
@mydimension,1,option D is my answer !!!,2023-03-18T 12: 00: 00Z ,0,0,Neutral 
@SunFlower-iy2px,1,D. AI which develops emotions in time is to come,2022-04-16T 19: 00: 00Z ,1,1,Positive 
@Personality_Development,1,Answer: option B ; a robot with a muscular skeletal system,2023-06-22T 20: 00: 00Z ,1,1,Positive 
@howl._.0707,1,Hi Simplilearn...can you organize this playlist in order for studying ai ml course completely....?,2024-06-15T 15: 00: 00Z ,1,1,Positive 
@garimagupta8553,1,Correct option is D,2023-07-13T 18: 00: 00Z ,0,0,Positive 
@missn420,1,Answer- no. D,2021-09-12T 19: 00: 00Z ,2,1,Negative 
@avilashasarkar1546,1,Answer- no. D,2021-09-11T 17: 00: 00Z ,2,1,Positive 
@veenashetye1540,1,Thanks so much for the vid. It really helped!,2024-01-13T 14: 00: 00Z ,0,0,Positive 
@kpravathipravathi9351,1,Nice ,2021-02-24T 13: 00: 00Z ,1,1,Positive 
@AiLatestNews24,1,Clear and concise! This 5-minute video brilliantly explains AI and its essence. Great introduction by Simplilearn.,2023-07: 13T 14: 00: 00Z ,0,0,Neutral 
@nishantchawhan2597,1,D is the Answer,2021-02-15T 19: 00: 00Z ,2,1,Positive 
@rajarajan7089,1,option 4===> AI THAT DEVELOP EMOTION OVER TIME,2022-09-19T 13: 00: 00Z ,0,1,Positive 
@casbv87,1,"A machine that hasn't developed emotions, yet.",2024-05-18T 14: 00: 00Z ,1,1,Positive 
@khushboorani1945,1,OUTSTANDING......KEEP IT UP.,2024- 03- 11T 19: 00: 00Z ,0,1,Positive 
@Gamer_On_Bed,1,Answer - D Ai does not develop emotion as of now.,2022-02-3T 23: 00: 00Z ,1,1,Positive 
@AnwarHossain-x5e,1,The answer is D.,2024-07-12T 25: 00: 00Z ,0,0,Negative 
@divinefavourprincessegwu1832,1,"My answer is D. AI that develops emotions over time. AI is a machine and although they simulate emotions to some extent, they do not actually feel them or have their own emotions.",2023-09-17T 26: 00: 00Z ,2,1,Positive 
@chetanrajkamal7464,1,"D is the correct answer. I want to know more about Deep learning, could you please make a detailed video?",2021-04-11T 21: 00: 00Z ,2,1,Positive 
@user-vq9qe2xh8u,1,Answer C,2024-07-17T 13:00:00Z,0,0,Neutral 
@gulneetkaur3120,1,The option d is correct,2021-05-13T 18: 00: 00Z ,1,1,Positive 
@zehrakatibi,1,"thanks, video was soooo good ;) learned a lot of it",2022-03-18T 23: 00: 00Z ,1,1,Positive 
@priyamore3270,1,Ai that develops emotions over time.,2023-08-22T 22: 00: 00Z ,1,1,Positive 
@memoriespass6679,1,Develop emotion over time For i think it hard for Robot to be feel like human being unlikely we become image like the movie Robot .,2022-07-12T 13: 00: 00Z ,1,1,Positive 
@786786420,1,Option D,2023-12-31st 12: 00: 00,1,0,Neutral 
@_SSaikumar,1,I Think the correct option is A. An AI Robot with with Citizenship is doesn't existed yet,2023-08-22T 22: 00: 00Z ,0,0,Neutral 
@dhaneshpt8641,1,Very useful. Thank you.,2023-12-31T 13: 00: 00Z ,0,0,Neutral 
@sangeethadhanasekaran755,1,"The answer is definitely D. Sophia was given citizenship of Saudi Arabia. Kenshiro have muscles which was created by researchers of University of Tokyo. Some researchers are teaching robots to recognize emotions through facial expressions, and then react appropriately as in the endhiran movie. And the last one not yet found.",2022-11-13T 12: 00: 00Z ,2,1,Positive 
@ankanchakrabortyroll874,1,Option B,2023-11-16T 10: 00: 00Z ,1,1,Positive 
@kamarjahan7690,1,"The answer of the question was ""A""",2023-12-29T 16: 00: 00Z ,0,0,Neutral 
@codemenath,1,D. AI that develop emotions over time is yet to be,2023-09-23T 17: 00: 00Z ,0,0,Neutral 
@rainierjohnpedillaga3575,1,finally i know what ai means ive being using ai for years....also i answer A.,2023-08-22T 22: 00: 00Z ,0,0,Neutral 
@kafulachisenga9338,1,"D, AI that develops emotions over time",2024-05-8T 21: 00: 00Z ,0,1,Positive 
@md.ashrafulahad2319,1,"Answer - A, C and D",2024-08-22T 27: 00: 0Z ,1,1,Neutral 
@shiva___3000,1,Option (B),2024-08-22T 25: 00: 0Z ,0,0,Neutral 
@ratikashahi2603,1,Ans is D,2024-05-31T 16: 00: 00Z ,0,0,Neutral 
@lyrics_black800,1,The answer for your question is OPTION - C AI THAT CAN READS ITS OWNER'S EMOTIONS,2023-08-22T 22: 00: 00Z ,0,1,Positive 
@MAHESHPANDEY-ty5ur,1,D is the answer and I like your video so much,2023-08-22T 17: 00: 00Z ,1,1,Positive 
@gersonkingz14,1,D. AI that developes emotions over time.,2024-05-1T 12: 00: 00Z ,0,1,Positive 
@pvstarzone6419,1,answer is D,2021-04-14T 11: 00: 00Z ,2,1,Positive 
@blythe9083,1,definitely D!,2022-04-17T 13: 00: 00Z ,1,1,Positive 
@adityaandtanish7705,1,A. Sophia has citizenship B. There are robots with muscular skeletal systems C. AI can recognise emotions by looking at face patterns.. And other stuff D. Not yet invented,2021-05-26T 13: 00: 00Z ,3,1,Positive 
@d0rafeliciasu369,1,D- AI that develops Emotions over time,2021-07-7T 16: 00: 00Z ,1,1,Neutral 
@krishnatutorial.7460,1,AI that develops emotions over time,2022-06-10T 17: 00: 00,1,1,Positive 
@hiteshgiri3156,1,Ai that develops emotions over time,2022-08-9T 10: 00: 00Z ,1,1,Positive 
@huzee52,1,Option D. AI that develops emotions over time,2023-08-22T 19: 00: 00Z ,0,1,Positive 
@Kids_jone1111,1,Option D :Al that develops emotions over time,2023-08-22T 25: 00: 00Z ,0,0,Neutral 
@estherhkawngnawhanggau375,1,"i think the answer is D because i have seen the facts about A,B andC",2021-06-19T 24: 00: 00Z ,1,1,Positive 
@user-wd2lu8dl4p,1,Answer is D. An AI does not develop emotions over time,2023-08-22T 18: 00: 00Z ,0,1,Positive 
@DACS_JAYANTHR,1,Option D,2023-08-22T 16: 00: 00Z ,1,1,Positive 
@dragonwarriors7339,1,Great job,2022-08-12T 10: 00: 00Z ,1,1,Positive 
@07_samsur,1,"D is my answer but I'm late, I loved this video! Keep it up.",2024-08-22T 16: 00: 00Z ,0,1,Positive 
@umairkhalid6732,1,the correct answer is definitely option D,2022-08-22T 12: 00: 00Z ,1,1,Positive 
@SOBHAK-l8f,1,answer is (A),2024-08-13T 16: 14: 00Z ,0,0,Neutral 
@drawingchampion5663,1,D option,2021-07-11T 27: 01: 00Z ,2,1,Positive 
@aryanbansal1213,1,IT IS OPTION D. DEFINATELY. COZ' AI HAS NOT DEVELOPED EMOTIONS YET,2022-08-22T 12: 00: 00Z ,1,1,Positive 
@baskibabu826,1,Answer for the question : AI that develop emotions over time,2022-07-23T 19: 00: 00Z ,1,1,Positive 
@kavyadeepu4883,1,option D,2023-08-22T 14: 00: 00Z ,0,0,Neutral 
@jonathanleung248,1,option d is the right answer ,2023-08-22T 18: 00: 00Z ,0,0,Neutral 
@csinp1146,1,Option B is my answer,2023-08-22T 15: 00: 00Z ,0,0,Positive 
@robertsonjames6916,1,The answer is D (AI that develops emotions over time),2021-09-12T 19: 00: 00Z ,0,1,Positive 
@housetipsandtricks2468,1,The answer is D,2022-07-5T 18: 00: 00Z ,2,1,Positive 
@hitamshdaga4645,1,D. robot that develops emotions over time.,2022-09-17T 15: 00: 00Z ,2,1,Positive 
@rauldacillo6976,1,AI was very helpful because too as of now our environment was not safe due to virus so better this AI will do the things which is risky area dor the protection,2022-03-9T 12: 00: 00Z,1,1,Positive 
@JahmaulLewis,1,AI that develops emotions over time,2024-07-22T 25: 00: 00Z ,0,0,Neutral 
@meghanak2761,1,Well! The answer ia B,2023-08-22T 17: 00: 00Z ,1,1,Positive 
@Luxuryyxdhanu,1,Option D,2021-05-25T 23: 00: 00Z ,1,1,Positive 
@incsvddivine1282,1,very useful,2023-12: 30T 12: 00: 00Z ,0,1,Positive 
@hunabuggy9712,1,A computer/ technology can never replace a human.,2023-08-22T 14: 00: 00Z ,0,0,Negative 
@williamifan7020,1,Answer Is D,2024-03-12T 19: 00: 00Z ,0,0,Positive
@123meenasalih,1,A.) An AI robot with citizenship.,2021-09-18T 18: 00: 00Z ,2,1,Positive 
@mskaribasappa6636,1,Option B. Bcz they are Robots not humans,2023-08-12T 21: 00: 00Z ,0,0,Neutral 
@krishanshdhawan9485,1,thank you,2022-08-6T 13: 00: 00Z ,0,1,Neutral 
@aravindrangarajan1558,1,AI develops emotions over time doesn’t exist,2021-09-5T 12: 00: 00Z ,1,1,Negative 
@rameshchavda3442,1,4:34 option c,2024-08-10T 09: 00: 00Z ,0,0,Neutral 
@digitalpoint6691,1,Option D,2022-05-19T 17: 00: 00Z ,2,1,Positive 
@xavieralex7463,1,"AI that can read its owner's emotions and AI that develops emotions over time are both active areas of research and development, and there are already some existing projects and prototypes that can do this to a certain extent.",2023-08-22T 18: 00: 00Z ,1,0,Positive 
@siddheshwarmore5759,1,AI that developes emotions over time..,2021-03-12T 13: 00: 00Z ,1,1,Positive 
@jesydecorations,1,definitely B!!! Great video!,2024-07-22T 25: 00: 00Z ,0,1,Positive
@somerandomperson1533,1,D is the answer.,2021-04-14T 11: 00: 00Z ,2,2,Positive 
@belindaharrison1,1,answer is D,2023-08-22T 16: 00: 00Z ,0,0,Neutral 
@jacobkfrick10,1,Still a dangerous but very cool idea kinda scary what the future holds maybe a Irobot scenario loo,2022-01-01T 16: 00: 00Z ,1,1,Negative 
@funtimewithvedanshi9403,1,the answer will be - B,2022-08-11T 12: 00: 00Z ,2,1,Neutral 
@akwasiyeboah718,1,The answer is A,2024-07-22T 17: 00: 00Z ,1,1,Neutral 
@artistshaurya,1,Thanks ,2022-05-20T 20: 00: 00Z ,2,1,Positive 
@shubhamponnam2024,1,Option A ,2022-09-20T 10: 00: 00Z ,1,1,Positive 
@abulhussainnh6171,1,I think it is D-AI that develops emotions in very time.,2022-09-21T 18: 00: 00Z ,2,1,Positive 
@user-je9wd7kb4l,1,Option d,2023-08-22T 19: 00: 00Z ,1,1,Positive 
@sourabhkapse6672,1,D - AI that develops Emotions over time,2021-01-15T 13: 00: 00Z ,0,1,Positive 
@nathaliekosel9112,1,"Love the video! But I'm wondering, wouldn't Alexa (meanwhile) be able to answer the traffic question?",2023-12-22T 17: 00: 00Z ,0,0,Neutral 
@AbhishekKumar51379,1,option D,2022-08-22T 12: 00: 00Z ,1,1,Positive 
@mangalsolanke9458,1,option D,2023-08-22T 17: 00: 00Z ,1,1,Positive
@sujansinghmeena9654,1,C and D is future demand,2021-06-09T 15: 00: 00Z ,1,1,Positive
@user-yj3hg4yh6y,1,great video!! Explains AI so well!! I am going to guess D for the quiz :),2023-12-29T 16: 00: 00Z ,0,0,Neutral 
@Miz.criminalMiz.criminal,1,Option D,2023-07-12T 19: 00: 00Z ,1,1,Positive
@mhkazemirad5139,1,The answer is D. AI can't develop emotions yet,2024-07-22T 17: 00: 00Z ,0,1,Positive 
@hemanthkumarsarisa5979,1,Answer is D,2023-08-22T 14: 00: 00Z ,0,0,Neutral 
@user-wm5ex8pi4e,1,"Nice video,a great learning video",2023-07-12T 19: 00: 00Z ,0,0,Positive 
@jyotikharoud6704,1,Answer is C,2023-10-13T 22: 00: 00Z ,0,0,Positive 
@pragnyarajabattula2669,1,It's option D,2023-08-22T 17: 00: 00Z ,1,1,Positive 
@shekinahrehobothyouth9436,1,option D,2022-06-18T 16: 00: 00Z ,1,1,Positive 
@sameeranwar5340,1,"I Go With A , It Still Didn't Get Adapted To The Citizenship Of Humanity . Over Time AI May Get An Own Processing Mind , Primary Functioned By Binory Language . They May Get Civillized By The Year 2050 . Great Video , You Yourself Have The Mind Of AI",2022-09-17T 15: 00: 00Z ,1,1,Positive 
@therealgamersam7233,1,Option A is correct ,2023-08-22T 13: 00: 00Z ,1,1,Positive 
@artificialintelligence_2023,1,Hi! Fantastic informative video! Just wondering what application you used to get the sketch/writing effect for the video? Thanks!,2023-12-17T 19: 00: 00Z ,0,0,Positive 
@ashmitamitra7417,1,D. Ai that develops emotions over time ️ Is the correct answer to this question,2021-05-15T 20: 00: 00Z ,0,2,Positive 
@rishikabelamkar4023,1,AI that can read it's owner's emotions,2022-07-19T 18: 00: 00Z ,0,2,Positive 
